Section ID,Section,HS2 ID,HS2,Trade Value,Share,Year
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",13475876.0,0.0737747686820223,2001
4,Foodstuffs,417,Sugars & confectioneries,86429326.0,0.4731643073142777,2001
4,Foodstuffs,418,Cocoa & cocoa preparations,99496182.0,0.5446998630585792,2001
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",27679014.0,0.1515309917660609,2001
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",34277245.0,0.1876535388817771,2001
4,Foodstuffs,421,Miscellaneous edible preparations,12146912.0,0.0664992482122038,2001
4,Foodstuffs,422,"Beverages, spirits, & vinegar",71235403.0,0.389983951937198,2001
4,Foodstuffs,423,Food residues & wastes; animal fodder,95682487.0,0.5238214825771333,2001
4,Foodstuffs,424,Tobacco & substitutes,41826811.0,0.228984246087725,2001
1,Animal Products,101,Live animals,5172445.0,0.0254014040591256,2002
1,Animal Products,102,Meat & edible offal,208440914.0,1.0236342540070449,2002
1,Animal Products,103,"Fish, Crustaceans & Molluscs",12657192.0,0.0621583116390668,2002
1,Animal Products,104,"Edible products of animal origin, n.e.s.",151518988.0,0.7440958844062754,2002
1,Animal Products,105,"Animal originated products, n.e.s.",9483337.0,0.0465718001768712,2002
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",221262.0,0.0010865974340819,2002
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",35485328.0,0.1742651985083662,2002
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",42017026.0,0.2063417696638223,2002
2,Vegetable Products,209,"Coffee, tea, mate & spices",1465176.0,0.0071953452562054,2002
2,Vegetable Products,210,Cereals,1135370295.0,5.575699619816882,2002
2,Vegetable Products,211,Products of the milling industry,15537782.0,0.0763046255232506,2002
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",53898609.0,0.2646911364806834,2002
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",755469.0,0.0037100391252383,2002
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",387589.0,0.0019034141103235,2002
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",391767853.0,1.923936074995318,2002
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",13810702.0,0.0678230936901553,2002
4,Foodstuffs,417,Sugars & confectioneries,110936562.0,0.5447993040607003,2002
4,Foodstuffs,418,Cocoa & cocoa preparations,119017544.0,0.5844842671635504,2002
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",27791227.0,0.1364801725926295,2002
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",41586193.0,0.2042259882268027,2002
4,Foodstuffs,421,Miscellaneous edible preparations,16002471.0,0.0785866706780722,2002
4,Foodstuffs,422,"Beverages, spirits, & vinegar",82920813.0,0.4072165244723148,2002
4,Foodstuffs,423,Food residues & wastes; animal fodder,96143530.0,0.472152077634595,2002
4,Foodstuffs,424,Tobacco & substitutes,47338575.0,0.2324754098222844,2002
1,Animal Products,101,Live animals,11101766.0,0.0421144668928437,2003
1,Animal Products,102,Meat & edible offal,241993873.0,0.9180019604745352,2003
1,Animal Products,103,"Fish, Crustaceans & Molluscs",11642476.0,0.0441656462631916,2003
1,Animal Products,104,"Edible products of animal origin, n.e.s.",252969555.0,0.9596381286495246,2003
1,Animal Products,105,"Animal originated products, n.e.s.",14250160.0,0.0540578761557149,2003
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",140028.0,0.000531195178323,2003
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",21165375.0,0.0802906929142735,2003
